CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,14,-,18,-,"2,088.00",-128.40,75,"1,985.65","2,215.25",75,"23,750.00",-,-,0.05,"3,450",-0.50,0.05,47.28,"95,762","-5,864","26,637",
,5,-,6,95.04,"2,069.25",-79.75,75,"2,035.60","2,234.95",75,"23,800.00",-,-,0.05,"21,375",-0.50,0.05,46.19,"76,739","-5,451","24,407",
,2,-,-,-,-,-,75,"1,887.55","2,142.55",75,"23,850.00",-,-,0.05,"4,350",-0.60,0.05,45.09,"63,045","1,972","4,292",
,1,-,-,-,-,-,75,"1,840.10","2,105.45",75,"23,900.00",-,-,0.05,"18,150",-0.60,0.05,43.99,"58,170","1,935","6,137",
,2,-,-,-,-,-,75,"1,788.90","2,056.30",75,"23,950.00",-,-,0.05,"1,875",-0.65,0.05,42.89,"48,136",-550,"2,584",
,420,-235,456,-,"1,840.65",-126.20,450,"1,838.50","1,886.20",75,"24,000.00",-,-,0.05,"63,975",-0.65,0.05,41.80,"1,38,583","-2,086","26,152",
,4,-,3,92.06,"1,830.00",-179.70,75,"1,696.65","1,976.70",75,"24,050.00",-,-,0.05,"9,900",-0.65,0.05,40.70,"35,125",-544,"1,852",
,1,-,1,-,"1,650.00",-257.00,75,"1,609.75","1,801.10",75,"24,100.00",-,-,0.05,"3,075",-0.65,0.05,39.61,"51,537","1,129","4,662",
,543,542,544,52.57,"1,695.85",-245.20,75,"1,558.45","1,723.20",75,"24,150.00",-,-,0.05,750,-0.65,0.05,38.51,"49,986",-335,"1,869",
,1,-,-,-,-,-,75,"1,519.60","1,802.45",75,"24,200.00",-,-,0.05,750,-0.65,0.05,37.42,"63,247",-467,"6,133",
,11,-,-,-,-,-,75,"1,413.15","1,714.85",75,"24,250.00",-,-,0.05,"2,400",-0.75,0.05,36.32,"56,503",-834,"1,699",
,12,-1,10,-,"1,541.00",-124.00,75,"1,399.85","1,726.70",75,"24,300.00",-,-,0.05,"8,550",-0.70,0.05,35.23,"77,625",431,"5,568",
,2,-,-,-,-,-,75,"1,385.65","1,654.10",75,"24,350.00",-,-,0.05,"1,800",-0.70,0.10,35.98,"56,858",-627,"1,274",
,17,1,28,-,"1,438.00",-112.00,75,"1,436.65","1,609.95",75,"24,400.00",-,-,0.05,"12,525",-0.80,0.05,33.04,"1,88,338","2,951","6,300",
,3,-8,10,84.45,"1,450.00",-204.00,75,"1,276.65","1,562.25",75,"24,450.00",-,-,0.05,"1,800",-0.75,0.10,33.69,"88,225","1,530","3,521",
,95,-66,145,-,"1,338.85",-116.15,150,"1,338.40","1,348.50",75,"24,500.00",-,-,0.05,"1,30,575",-0.75,0.05,30.86,"3,60,574","8,376","40,907",
,7,-,4,70.98,"1,330.00",-205.65,75,"1,168.55","1,428.60",75,"24,550.00",-,-,0.05,"9,450",-0.85,0.05,29.76,"1,08,010",809,"2,755",
,12,-12,25,-,"1,237.00",-113.00,75,"1,237.15","1,243.15",75,"24,600.00",-,-,0.05,"2,475",-0.80,0.05,28.67,"1,33,981","-2,097","6,076",
,12,-12,24,76.79,"1,254.00",-194.00,75,"1,064.15","1,331.50",75,"24,650.00",-,-,0.05,"2,325",-0.85,0.05,27.57,"1,44,917","-1,336","3,393",
,29,-6,20,-,"1,143.95",-111.40,75,"1,137.25","1,142.85",75,"24,700.00",-,-,0.05,"15,450",-0.85,0.05,26.48,"2,28,119","-2,472","13,191",
,8,-,3,41.17,"1,099.00",-314.20,75,968.40,"1,264.30",75,"24,750.00",-,-,0.05,"15,450",-0.90,0.05,25.38,"1,83,780","4,765","10,937",
,45,-5,23,-,"1,041.95",-89.90,75,"1,037.35","1,042.55",75,"24,800.00",-,-,0.05,"1,11,675",-0.80,0.05,24.28,"4,52,779","6,765","31,961",
,10,-3,39,-,986.60,-263.40,75,988.50,991.50,375,"24,850.00",-,-,0.05,"1,12,050",-0.95,0.05,23.18,"2,23,939","3,564","9,315",
,64,-11,118,-,939.20,-109.80,75,938.55,941.40,75,"24,900.00",-,-,0.05,"2,36,550",-1.05,0.05,22.08,"3,50,606","9,532","28,643",
,7,-,24,-,887.70,-94.10,75,888.60,891.30,375,"24,950.00",-,-,0.05,"27,750",-1.05,0.05,20.98,"2,96,075","-2,129","5,290",
,204,-453,"1,632",-,838.55,-124.75,75,838.55,841.05,525,"25,000.00",-,-,0.05,"3,74,100",-1.10,0.05,19.88,"11,89,099","6,579","96,359",
,22,-2,20,-,785.50,-130.10,75,788.70,791.10,75,"25,050.00",-,-,0.05,"75,675",-1.05,0.05,18.77,"4,08,582",-274,"9,635",
,126,-12,164,-,740.95,-124.15,375,738.80,740.95,450,"25,100.00",-,-,0.05,"11,850",-1.15,0.05,17.66,"7,05,291","2,126","32,940",
,77,35,291,-,686.90,-109.40,75,688.85,690.85,525,"25,150.00",-,-,0.05,"6,675",-1.20,0.05,16.55,"4,57,850","4,521","17,568",
,157,-81,716,-,638.00,-121.20,75,638.85,640.80,525,"25,200.00",-,-,0.05,"2,19,825",-1.20,0.05,15.44,"10,85,779","-6,259","42,960",
,77,8,291,-,591.40,-104.05,75,588.90,590.70,825,"25,250.00",-,-,0.05,"2,700",-1.25,0.05,14.32,"7,80,836","1,366","16,604",
,177,-16,"4,527",-,539.35,-123.25,150,538.90,540.60,375,"25,300.00",-,-,0.05,"30,900",-1.30,0.05,13.20,"17,53,444","23,639","67,986",
,153,95,910,-,490.55,-105.65,525,489.35,490.35,150,"25,350.00",-,-,0.05,"1,61,025",-1.45,0.05,12.07,"11,46,575","14,806","31,434",
,827,421,"6,986",-,439.20,-121.25,150,439.15,440.35,525,"25,400.00",-,-,0.05,"20,925",-1.45,0.05,10.94,"18,08,654","8,780","74,344",
,439,332,"5,656",-,390.30,-109.90,150,389.20,390.25,150,"25,450.00",-,-,0.05,"69,075",-1.70,0.05,9.80,"13,87,999","5,211","27,113",
,"1,572",-676,"1,04,288",-,339.05,-123.05,375,339.10,340.00,"1,200","25,500.00",-,-,0.05,"6,78,000",-1.90,0.05,8.65,"32,42,559","-23,176","1,00,448",
,745,574,"44,726",-,289.85,-120.15,375,289.85,290.15,"1,500","25,550.00",-,-,0.05,"2,10,225",-2.20,0.05,7.49,"28,10,441","10,036","32,868",
,"3,866","1,408","3,96,910",-,239.20,-131.75,225,239.15,239.65,525,"25,600.00",-,-,0.05,"2,94,450",-2.60,0.05,6.32,"57,77,279","-4,206","62,369",
,"3,408","2,758","4,58,249",-,189.25,-123.25,75,189.30,189.60,"2,025","25,650.00",-,-,0.05,"2,21,475",-3.35,0.05,5.13,"73,50,220","19,633","60,873",
,"11,925","5,881","26,90,512",-,139.50,-125.30,"1,275",139.25,139.60,450,"25,700.00",-,-,0.05,"71,925",-5.00,0.05,3.92,"1,67,52,768","-5,574","97,840",
,"14,352","9,225","51,34,507",-,89.50,-128.60,"1,350",89.45,89.60,"1,275","25,750.00",-,-,0.05,"13,34,400",-8.00,0.05,2.68,"2,47,90,146","24,254","1,11,932",
,"78,847","63,470","1,91,41,889",-,39.45,-136.00,"35,925",39.45,39.60,"49,875","25,800.00",-,-,0.05,"27,43,875",-14.00,0.05,1.38,"3,90,87,418","1,54,633","2,79,579",
,"2,96,760","2,86,556","3,35,76,279",0.22,0.05,-135.80,-,-,0.05,"13,78,500","25,850.00","1,23,825",10.30,10.40,"1,25,550",-13.25,10.40,1.39,"3,14,04,676","30,756","1,08,226",
,"1,45,248","75,820","3,30,17,566",1.65,0.05,-99.20,-,-,0.05,"97,500","25,900.00","45,525",60.15,60.35,"10,650",22.35,60.35,4.24,"1,70,23,285","-66,371","77,102",
,"83,180","-15,358","2,10,93,180",2.93,0.05,-69.05,-,-,0.05,"1,02,525","25,950.00",600,110.10,110.45,75,51.90,110.10,6.47,"43,37,415","-56,482","23,293",
,"1,38,619","-1,00,502","1,86,49,591",4.15,0.05,-47.15,-,-,0.05,"52,950","26,000.00",300,160.05,160.35,525,74.75,160.00,8.53,"27,05,019","-58,847","35,180",
,"71,731","-80,575","93,44,979",5.34,0.05,-30.05,-,-,0.05,"1,25,775","26,050.00",375,210.05,210.80,450,91.15,210.00,10.52,"4,19,704","-16,573","7,748",
,"1,37,031","-1,71,099","66,49,023",6.50,0.05,-19.35,-,-,0.05,"2,82,375","26,100.00",75,260.20,260.60,150,101.05,260.20,12.55,"3,75,104","-24,226","18,419",
,"69,610","-1,48,611","35,86,011",7.64,0.05,-12.35,"1,04,100",0.05,0.10,"2,35,875","26,150.00","2,850",310.05,310.80,75,108.60,310.80,14.78,"72,069","-8,380","4,089",
,"1,18,815","-2,05,434","35,63,712",8.77,0.05,-8.10,-,-,0.05,"5,20,200","26,200.00",750,360.55,361.00,"1,500",112.85,361.00,16.76,"1,09,233","-10,207","19,054",
,"54,224","-1,32,748","19,61,057",9.88,0.05,-5.45,-,-,0.05,"85,575","26,250.00",975,410.00,410.95,300,116.90,410.95,18.55,"13,200","-2,133","2,085",
,"1,05,034","-97,858","23,05,316",10.98,0.05,-4.35,-,-,0.05,"3,23,550","26,300.00",375,459.90,461.00,825,116.50,460.95,20.33,"27,738","-4,617","4,658",
,"61,970","-46,939","16,27,005",12.07,0.05,-3.70,-,-,0.05,"4,725","26,350.00",750,510.00,510.95,450,122.85,510.95,22.09,"3,607","-1,089","1,063",
,"96,054","-72,366","24,63,199",13.15,0.05,-3.30,-,-,0.05,"1,24,725","26,400.00",150,560.25,561.60,150,119.20,561.35,24.13,"6,936","-1,050","5,177",
,"35,934","-35,152","13,66,014",14.22,0.05,-2.90,-,-,0.05,"2,42,550","26,450.00",600,609.90,611.55,300,114.30,609.80,24.52,694,-222,787,
,"1,08,193","-61,172","22,94,445",15.28,0.05,-2.65,-,-,0.05,"5,55,600","26,500.00",375,660.00,661.80,525,117.05,661.80,27.91,"6,810","-1,167","3,644",
,"24,261","-31,270","7,90,238",16.33,0.05,-2.50,-,-,0.05,"23,850","26,550.00",375,709.70,711.90,75,112.25,709.45,27.42,206,-71,459,
,"79,350","-62,976","15,77,731",17.38,0.05,-2.35,-,-,0.05,"80,475","26,600.00",525,759.80,762.10,75,114.90,761.90,31.37,"1,092",-349,675,
,"18,819","-17,128","5,49,840",18.42,0.05,-2.25,-,-,0.05,"1,00,725","26,650.00",375,809.65,812.15,75,108.20,809.40,30.53,61,-14,332,
,"55,027","-38,743","12,11,655",19.45,0.05,-2.10,-,-,0.05,"5,37,900","26,700.00",300,859.55,862.25,75,110.10,859.80,32.56,440,-85,320,
,"13,697","-13,820","5,27,773",20.48,0.05,-1.95,-,-,0.05,"1,13,100","26,750.00",300,909.45,912.30,75,119.85,920.40,42.54,231,-32,240,
,"50,277","-42,254","9,41,414",21.50,0.05,-1.90,-,-,0.05,"5,43,225","26,800.00",525,959.75,962.45,75,111.95,959.45,35.24,340,-86,382,
,"17,383","-9,807","3,98,948",22.52,0.05,-1.85,-,-,0.05,"5,18,700","26,850.00",375,"1,009.35","1,012.45",75,74.75,977.80,-,26,-9,148,
,"39,774","-16,085","6,22,317",23.53,0.05,-1.80,-,-,0.05,"61,350","26,900.00",75,"1,058.60","1,063.00",75,107.35,"1,058.40",36.76,135,-12,201,
,"9,622","-9,741","2,92,785",24.54,0.05,-1.65,-,-,0.05,"7,125","26,950.00",75,"1,101.65","1,113.80",75,106.25,"1,114.15",44.87,16,3,93,
,"1,01,315","-47,820","11,10,952",25.54,0.05,-1.70,-,-,0.05,"2,07,225","27,000.00",525,"1,159.65","1,162.75",75,116.05,"1,161.70",44.06,677,-364,222,
,"10,912","-6,328","2,25,794",26.53,0.05,-1.65,-,-,0.05,"77,775","27,050.00",75,"1,120.55","1,245.45",75,-,-,63.84,-,-,34,
,"61,933","-1,440","4,30,045",27.52,0.05,-1.70,-,-,0.05,"6,750","27,100.00",75,"1,257.65","1,265.65",75,66.40,"1,210.95",-,13,-2,22,
,"13,462","-1,635","1,58,288",28.51,0.05,-1.65,-,-,0.05,"5,700","27,150.00",75,"1,158.05","1,331.95",75,119.70,"1,312.60",49.70,7,-6,21,
,"79,191","-14,054","3,92,408",29.50,0.05,-1.60,-,-,0.05,"1,275","27,200.00",75,"1,357.45","1,364.20",75,111.75,"1,360.50",48.69,116,-71,56,
,"8,706","1,351","1,30,564",30.47,0.05,-1.60,-,-,0.05,"35,025","27,250.00",75,"1,379.75","1,448.85",75,-,-,-,-,-,11,
,"44,160","-4,089","2,66,284",31.45,0.05,-1.60,-,-,0.05,"6,000","27,300.00",75,"1,337.60","1,514.05",75,383.20,"1,469.30",60.65,11,1,14,
,"15,292","-1,357","1,91,934",32.42,0.05,-1.45,-,-,0.05,"66,675","27,350.00",75,"1,507.20","1,592.30",75,334.70,"1,511.15",54.01,131,-38,72,
,"24,366","4,501","2,48,465",33.39,0.05,-1.45,-,-,0.05,"30,975","27,400.00",75,"1,541.70","1,592.45",75,178.60,"1,545.00",-,4,-2,1,
,"8,996","-2,050","1,01,899",34.35,0.05,-1.35,-,-,0.05,"9,750","27,450.00",75,"1,446.65","1,662.70","1,725",268.30,"1,615.75",62.29,2,-,-,
,"65,689","-25,382","4,39,242",35.31,0.05,-1.30,-,-,0.05,"4,38,150","27,500.00",75,"1,657.00","1,665.00",75,109.65,"1,658.00",52.98,153,-74,42,
,"2,523","-1,773","79,481",36.27,0.05,-1.25,-,-,0.05,"3,000","27,550.00",75,"1,599.95","1,783.20","1,725",321.25,"1,769.60",96.02,2,-,1,
,"15,459","-5,905","1,28,249",37.22,0.05,-1.20,-,-,0.05,"12,000","27,600.00",75,"1,675.05","1,815.40","1,725",140.00,"1,770.00",70.93,4,-,5,
,"2,795",-248,"78,034",38.17,0.05,-1.20,-,-,0.05,"1,050","27,650.00",75,"1,585.05","1,870.55","1,725",-,-,-,-,-,-,
,"17,564","-2,351","1,22,836",39.11,0.05,-1.15,-,-,0.05,"5,250","27,700.00",75,"1,707.30","1,915.20","1,725",-,-,-,-,-,1,
,"4,515",-13,"93,834",40.05,0.05,-1.10,-,-,0.05,"4,050","27,750.00",75,"1,878.00","1,967.35","1,725",320.20,"1,959.25",99.25,2,1,1,
,"14,339","-5,531","1,69,995",40.99,0.05,-1.10,-,-,0.05,"16,575","27,800.00",75,"1,936.55","2,017.85","1,725",339.15,"2,035.15",112.01,2,1,2,
,"4,773",-385,"1,07,888",41.93,0.05,-1.10,-,-,0.05,"7,200","27,850.00",75,"1,777.95","2,072.70","1,725",-,-,-,-,-,1,
,"12,750","-8,616","1,47,576",42.86,0.05,-1.05,-,-,0.05,"27,450","27,900.00",75,"2,036.70","2,146.60","1,725",-,-,-,-,-,1,
,"21,895","-12,125","1,79,728",43.79,0.05,-0.95,-,-,0.05,"1,03,125","27,950.00",75,"1,932.95","2,184.45",75,294.30,"2,135.80",93.89,14,6,6,
